0.000000000 -1.424517653 -1.809035075 
0.023498617 -1.412907208 -1.844374166 
0.046983574 -1.363502388 -1.841636697 
0.070482191 -1.290595302 -1.813408652 
0.093980808 -1.215952067 -1.782155940 
0.117479425 -1.148105021 -1.753833550 
0.140964382 -1.090404059 -1.730557202 
0.164462999 -1.044210851 -1.710297378 
0.187961616 -1.010001250 -1.699721415 
0.211451573 -0.987883004 -1.698950902 
0.234945191 -0.977808017 -1.704033503 
0.258443808 -0.979710515 -1.717667023 
0.281942425 -0.993528505 -1.736965736 
0.305432383 -1.019045799 -1.766312398 
0.328926001 -1.055483800 -1.804348434 
0.352424618 -1.101629943 -1.852333494 
0.375914575 -1.157075738 -1.912613460 
0.399413192 -1.221996261 -1.983023811 
0.422906811 -1.295976330 -2.058884866 
0.446405428 -1.378000936 -2.142028996 
0.469895385 -1.466768359 -2.228645963 
0.493394002 -1.560780554 -2.320620799 
0.516887620 -1.658352742 -2.416104017 
0.540377578 -1.757571947 -2.512256956 
0.563876195 -1.856209257 -2.606830073 
0.587374812 -1.952313578 -2.698650870 
0.610868430 -2.046328509 -2.788012225 
0.634358387 -2.129902885 -2.866502220 
0.657857004 -2.197181094 -2.928552826 
0.681355621 -2.241139044 -2.968748825 
0.704840578 -2.256170441 -2.980228249 
0.716588059 -2.252611976 -2.978445719 
0.728330537 -2.242513790 -2.970123665 
0.740081678 -2.226973160 -2.956359349 
0.751829158 -2.207256170 -2.938318020 
0.763571637 -2.184620293 -2.917055542 
0.775327776 -2.160213052 -2.894021863 
0.787070254 -2.135025169 -2.870207652 
0.798812732 -2.109876437 -2.846197784 
0.810568871 -2.085451708 -2.822677173 
0.822311350 -2.062292787 -2.800422470 
0.834053828 -2.040814189 -2.779848097 
0.845809967 -2.022239374 -2.760728480 
0.857552445 -2.006805959 -2.744652144 
0.869308584 -1.993544124 -2.730747644 
0.881051063 -1.982434070 -2.718995695 
0.892793541 -1.973214516 -2.688784545 
0.904549680 -1.964636713 -2.659170005 
0.916292158 -1.941879244 -2.636038342 
